STATE/UT,Year,CRIME HEAD,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Male Total,Female Total,Grand Total,
Karnataka,2013,Explosives Substances Act 1908,0,0,50,1,84,4,40,2,5,0,179,7,186,
Kerala,2013,Explosives Substances Act 1908,0,0,136,0,214,0,113,2,13,0,476,2,478,
Madhya Pradesh,2013,Explosives Substances Act 1908,0,0,186,0,110,0,33,0,0,1,329,1,330,
Maharashtra,2013,Explosives Substances Act 1908,0,0,51,0,46,0,12,0,0,0,109,0,109,
Manipur,2013,Explosives Substances Act 1908,0,0,4,0,6,0,0,0,0,0,10,0,10,
Meghalaya,2013,Explosives Substances Act 1908,0,0,5,0,0,1,1,1,0,0,6,2,8,
Mizoram,2013,Explosives Substances Act 1908,0,0,2,0,5,0,1,0,0,0,8,0,8,
Nagaland,2013,Explosives Substances Act 1908,0,0,5,0,7,1,0,0,0,0,12,1,13,
Odisha,2013,Explosives Substances Act 1908,2,0,210,3,201,1,68,0,3,0,484,4,488,
Punjab,2013,Explosives Substances Act 1908,0,0,3,0,3,0,0,0,0,0,6,0,6,
Rajasthan,2013,Explosives Substances Act 1908,1,0,230,0,298,0,112,0,1,0,642,0,642,
Sikkim,2013,Explosives Substances Act 1908,0,0,0,0,4,0,0,0,0,0,4,0,4,
Tamil Nadu,2013,Explosives Substances Act 1908,3,0,211,0,389,8,173,1,30,1,806,10,816,
Tripura,2013,Explosives Substances Act 1908,0,0,0,0,3,0,0,0,0,0,3,0,3,
Uttar Pradesh,2013,Explosives Substances Act 1908,2,0,320,2,161,0,16,0,1,0,500,2,502,
Uttarakhand,2013,Explosives Substances Act 1908,0,0,1,0,1,0,0,0,0,0,2,0,2,
West Bengal,2013,Explosives Substances Act 1908,2,0,98,0,97,0,21,0,0,0,218,0,218,
Total (State),2013,Explosives Substances Act 1908,14,0,1976,6,2205,16,721,10,63,2,4979,34,5013,
A&N Islands,2013,Explosives Substances Act 1908,0,0,0,0,3,0,1,0,0,0,4,0,4,
Chandigarh,2013,Explosives Substances Act 1908,0,0,0,0,3,0,0,0,0,0,3,0,3,
D&N Haveli,2013,Explosives Substances Act 1908,0,0,0,0,0,0,1,0,0,0,1,0,1,
Daman & Diu,2013,Explosives Substances Act 1908,0,0,0,0,0,0,0,0,0,0,0,0,0,
Delhi UT,2013,Explosives Substances Act 1908,0,0,10,0,6,0,0,0,0,0,16,0,16,
Lakshadweep,2013,Explosives Substances Act 1908,0,0,0,0,0,0,0,0,0,0,0,0,0,
Puducherry,2013,Explosives Substances Act 1908,0,0,7,0,1,0,0,0,0,0,8,0,8,
Total (UTs),2013,Explosives Substances Act 1908,0,0,17,0,13,0,2,0,0,0,32,0,32,
Total (All-India),2013,Explosives Substances Act 1908,14,0,1993,6,2218,16,723,10,63,2,5011,34,5045,
Andhra Pradesh,2013,Forest Act,1927,0,0,28,1,46,0,3,2,0,0,77,3,80
Arunachal Pradesh,2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2013,Forest Act,1927,5,0,10,0,10,0,3,0,0,0,28,0,28
Bihar,2013,Forest Act,1927,0,0,52,0,52,0,12,0,1,0,117,0,117
Chhattisgarh,2013,Forest Act,1927,0,0,1,0,8,0,1,0,0,0,10,0,10
Goa,2013,Forest Act,1927,0,0,1,0,0,0,0,0,0,0,1,0,1
Gujarat,2013,Forest Act,1927,0,0,1,0,3,0,1,0,1,0,6,0,6
Haryana,2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2013,Forest Act,1927,3,0,125,0,113,0,43,1,13,1,297,2,299
Jammu & Kashmir,2013,Forest Act,1927,0,0,2,0,2,0,1,0,0,0,5,0,5
Jharkhand,2013,Forest Act,1927,0,0,103,1,145,3,30,3,0,0,278,7,285
Karnataka,2013,Forest Act,1927,0,0,82,0,77,0,22,0,1,0,182,0,182
Kerala,2013,Forest Act,1927,0,0,0,0,2,0,0,0,0,0,2,0,2
Madhya Pradesh,2013,Forest Act,1927,0,0,11,0,16,0,3,0,0,0,30,0,30
Maharashtra,2013,Forest Act,1927,0,0,15,1,17,1,6,0,1,0,39,2,41
Manipur,2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2013,Forest Act,1927,0,0,0,0,1,0,0,0,0,0,1,0,1
Nagaland,2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2013,Forest Act,1927,0,0,0,0,0,5,0,0,0,0,0,5,5
Rajasthan,2013,Forest Act,1927,0,0,1345,0,1303,1,538,0,42,0,3228,1,3229
Sikkim,2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2013,Forest Act,1927,0,0,67,0,24,0,11,0,0,0,102,0,102
Tripura,2013,Forest Act,1927,0,0,1,0,0,0,0,0,0,0,1,0,1
Uttar Pradesh,2013,Forest Act,1927,1,0,1840,3,1041,0,520,0,2,0,3404,3,3407
Uttarakhand,2013,Forest Act,1927,0,0,34,0,46,0,26,0,0,0,106,0,106
West Bengal,2013,Forest Act,1927,0,0,19,0,0,0,0,0,0,0,19,0,19
Total (State),2013,Forest Act,1927,9,0,3737,6,2906,10,1220,6,61,1,7933,23,7956
A&N Islands,2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),2013,Forest Act,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),2013,Forest Act,1927,9,0,3737,6,2906,10,1220,6,61,1,7933,23,7956
Andhra Pradesh,2013,Gambling Act,0,0,13415,1,13235,0,3370,1,512,0,30532,2,30534,
Arunachal Pradesh,2013,Gambling Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Assam,2013,Gambling Act,0,0,32,0,75,0,4,0,0,0,111,0,111,
Bihar,2013,Gambling Act,12,0,374,0,275,0,96,0,4,0,761,0,761,
Chhattisgarh,2013,Gambling Act,34,0,11914,0,10763,0,3641,0,411,0,26763,0,26763,
Goa,2013,Gambling Act,0,0,156,0,264,0,121,0,8,0,549,0,549,
Gujarat,2013,Gambling Act,109,0,17475,184,16531,290,8051,137,684,7,42850,618,43468,
Haryana,2013,Gambling Act,126,0,3178,0,3176,2,1215,3,180,0,7875,5,7880,
Himachal Pradesh,2013,Gambling Act,0,0,154,0,368,0,109,0,0,0,631,0,631,
Jammu & Kashmir,2013,Gambling Act,0,0,158,0,214,0,104,0,19,0,495,0,495,
Jharkhand,2013,Gambling Act,4,0,221,0,177,0,42,0,0,0,444,0,444,
Karnataka,2013,Gambling Act,28,0,14312,21,19550,22,6551,4,1196,0,41637,47,41684,
Kerala,2013,Gambling Act,0,0,5351,0,8724,0,4635,1,1022,0,19732,1,19733,
Madhya Pradesh,2013,Gambling Act,299,1,29406,11,22793,10,9989,10,938,0,63425,32,63457,
Maharashtra,2013,Gambling Act,89,0,17227,12,19334,40,8258,41,1197,6,46105,99,46204,
Manipur,2013,Gambling Act,0,0,36,0,30,2,7,0,1,0,74,2,76,
Meghalaya,2013,Gambling Act,0,0,11,0,4,0,8,0,0,0,23,0,23,
Mizoram,2013,Gambling Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nagaland,2013,Gambling Act,0,0,2,0,1,0,0,0,0,0,3,0,3,
Odisha,2013,Gambling Act,3,0,1383,19,1528,15,721,17,51,0,3686,51,3737,
Punjab,2013,Gambling Act,5,0,1426,1,1940,10,811,2,1,0,4183,13,4196,
Rajasthan,2013,Gambling Act,13,0,13305,95,10779,20,4382,3,309,0,28788,118,28906,
Sikkim,2013,Gambling Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tamil Nadu,2013,Gambling Act,21,0,6206,17,7947,11,5022,0,493,0,19689,28,19717,
Tripura,2013,Gambling Act,11,0,1,0,13,0,5,0,0,0,30,0,30,
Uttar Pradesh,2013,Gambling Act,1,0,12437,0,7223,7,3123,0,110,0,22894,7,22901,
Uttarakhand,2013,Gambling Act,0,0,220,0,313,0,96,0,1,0,630,0,630,
West Bengal,2013,Gambling Act,0,0,511,0,582,0,270,0,23,0,1386,0,1386,
Total (State),2013,Gambling Act,755,1,148911,361,145839,429,60631,219,7160,13,363296,1023,364319,
A&N Islands,2013,Gambling Act,0,0,154,0,282,0,94,0,9,0,539,0,539,
Chandigarh,2013,Gambling Act,0,0,266,0,257,0,64,0,0,0,587,0,587,
D&N Haveli,2013,Gambling Act,0,0,10,0,10,0,0,0,0,0,20,0,20,
Daman & Diu,2013,Gambling Act,0,0,11,0,35,0,22,0,0,0,68,0,68,
Delhi UT,2013,Gambling Act,0,0,1100,1,795,1,108,0,6,0,2009,2,2011,
Lakshadweep,2013,Gambling Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Puducherry,2013,Gambling Act,0,0,26,0,89,0,25,0,4,0,144,0,144,
Total (UTs),2013,Gambling Act,0,0,1567,1,1468,1,313,0,19,0,3367,2,3369,
Total (All-India),2013,Gambling Act,755,1,150478,362,147307,430,60944,219,7179,13,366663,1025,367688,
Andhra Pradesh,2013,Immoral Traffic (P) Act,1956,0,0,498,169,432,144,96,43,7,9,1033,365,1398
Arunachal Pradesh,2013,Immoral Traffic (P) Act,1956,0,0,0,0,1,0,0,0,0,0,1,0,1
Assam,2013,Immoral Traffic (P) Act,1956,2,0,16,1,11,0,0,0,0,0,29,1,30
Bihar,2013,Immoral Traffic (P) Act,1956,0,0,52,21,40,0,9,0,0,0,101,21,122
Chhattisgarh,2013,Immoral Traffic (P) Act,1956,0,0,7,14,9,4,1,0,0,0,17,18,35
Goa,2013,Immoral Traffic (P) Act,1956,1,0,33,5,23,2,1,1,0,0,58,8,66
Gujarat,2013,Immoral Traffic (P) Act,1956,0,5,50,15,44,22,25,5,0,0,119,47,166
Haryana,2013,Immoral Traffic (P) Act,1956,0,1,115,83,95,36,16,5,1,0,227,125,352
Himachal Pradesh,2013,Immoral Traffic (P) Act,1956,0,0,5,6,9,3,2,0,1,0,17,9,26
Jammu & Kashmir,2013,Immoral Traffic (P) Act,1956,0,0,4,2,7,1,0,0,0,0,11,3,14
Jharkhand,2013,Immoral Traffic (P) Act,1956,0,0,3,14,8,4,1,2,0,0,12,20,32
Karnataka,2013,Immoral Traffic (P) Act,1956,0,0,413,244,271,86,54,8,8,2,746,340,1086
Kerala,2013,Immoral Traffic (P) Act,1956,2,0,62,38,54,116,26,31,6,0,150,185,335
Madhya Pradesh,2013,Immoral Traffic (P) Act,1956,1,1,26,25,15,12,6,0,0,0,48,38,86
Maharashtra,2013,Immoral Traffic (P) Act,1956,2,0,275,225,229,123,64,37,5,0,575,385,960
Manipur,2013,Immoral Traffic (P) Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,Immoral Traffic (P) Act,1956,0,0,8,8,0,2,0,0,0,0,8,10,18
Mizoram,2013,Immoral Traffic (P) Act,1956,0,0,2,0,3,0,0,0,0,0,5,0,5
Nagaland,2013,Immoral Traffic (P) Act,1956,0,0,1,0,0,0,0,0,0,0,1,0,1
Odisha,2013,Immoral Traffic (P) Act,1956,0,0,35,9,42,3,5,1,0,0,82,13,95
Punjab,2013,Immoral Traffic (P) Act,1956,0,4,119,166,115,123,22,31,0,0,256,324,580
Rajasthan,2013,Immoral Traffic (P) Act,1956,0,0,94,97,43,34,5,5,0,1,142,137,279
Sikkim,2013,Immoral Traffic (P) Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2013,Immoral Traffic (P) Act,1956,0,0,277,153,246,166,159,47,3,4,685,370,1055
Tripura,2013,Immoral Traffic (P) Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2013,Immoral Traffic (P) Act,1956,0,3,80,83,47,49,6,0,0,0,133,135,268
Uttarakhand,2013,Immoral Traffic (P) Act,1956,0,0,17,14,15,13,9,3,0,0,41,30,71
West Bengal,2013,Immoral Traffic (P) Act,1956,0,0,85,64,117,57,44,11,1,0,247,132,379
Total (State),2013,Immoral Traffic (P) Act,1956,8,14,2277,1456,1876,1000,551,230,32,16,4744,2716,7460
A&N Islands,2013,Immoral Traffic (P) Act,1956,0,0,3,9,2,4,0,0,0,0,5,13,18
Chandigarh,2013,Immoral Traffic (P) Act,1956,0,0,3,14,4,4,2,1,0,0,9,19,28
D&N Haveli,2013,Immoral Traffic (P) Act,1956,0,0,2,2,8,1,0,1,0,0,10,4,14
Daman & Diu,2013,Immoral Traffic (P) Act,1956,0,0,14,12,2,4,0,0,0,0,16,16,32
Delhi UT,2013,Immoral Traffic (P) Act,1956,0,0,3,20,4,21,0,2,0,0,7,43,50
Lakshadweep,2013,Immoral Traffic (P) Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2013,Immoral Traffic (P) Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),2013,Immoral Traffic (P) Act,1956,0,0,25,57,20,34,2,4,0,0,47,95,142
Total (All-India),2013,Immoral Traffic (P) Act,1956,8,14,2302,1513,1896,1034,553,234,32,16,4791,2811,7602
Andhra Pradesh,2013,Indecent representation of Women (P) Act,1986,11,0,170,2,78,0,24,0,0,0,283,2,285
Arunachal Pradesh,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,1,0,0,0,0,0,1,0,1
Bihar,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,1,0,1,0,0,0,2,0,2
Karnataka,2013,Indecent representation of Women (P) Act,1986,0,0,2,0,0,0,0,0,0,0,2,0,2
Kerala,2013,Indecent representation of Women (P) Act,1986,0,0,6,0,11,0,3,0,0,0,20,0,20
Madhya Pradesh,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,4,0,0,0,0,0,4,0,4
Punjab,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2013,Indecent representation of Women (P) Act,1986,0,0,41,0,25,0,1,0,0,0,67,0,67
Sikkim,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2013,Indecent representation of Women (P) Act,1986,0,0,5,0,2,0,0,0,0,0,7,0,7
Tripura,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2013,Indecent representation of Women (P) Act,1986,0,0,1,0,0,0,0,0,0,0,1,0,1
Uttarakhand,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2013,Indecent representation of Women (P) Act,1986,0,0,1,0,3,0,1,0,0,0,5,0,5
Total (State),2013,Indecent representation of Women (P) Act,1986,11,0,226,2,125,0,30,0,0,0,392,2,394
A&N Islands,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,1,0,0,0,0,0,1,0,1
D&N Haveli,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2013,Indecent representation of Women (P) Act,1986,0,0,0,0,1,0,0,0,0,0,1,0,1
Total (UTs),2013,Indecent representation of Women (P) Act,1986,0,0,0,0,2,0,0,0,0,0,2,0,2
Total (All-India),2013,Indecent representation of Women (P) Act,1986,11,0,226,2,127,0,30,0,0,0,394,2,396
Andhra Pradesh,2013,Indial Railways Act,1989,3,0,2,0,1,0,2,0,0,0,8,0,8
Arunachal Pradesh,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2013,Indial Railways Act,1989,0,0,1,0,0,0,0,0,0,0,1,0,1
Chhattisgarh,2013,Indial Railways Act,1989,0,0,7,0,5,0,0,0,0,0,12,0,12
Goa,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2013,Indial Railways Act,1989,0,0,0,0,0,0,1,0,0,0,1,0,1
Haryana,2013,Indial Railways Act,1989,0,0,6,0,4,0,0,0,0,0,10,0,10
Himachal Pradesh,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2013,Indial Railways Act,1989,0,0,2,0,4,0,6,0,0,0,12,0,12
Madhya Pradesh,2013,Indial Railways Act,1989,5,0,2,0,0,0,0,0,0,0,7,0,7
Maharashtra,2013,Indial Railways Act,1989,3,0,6,2,5,0,0,0,0,0,14,2,16
Manipur,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2013,Indial Railways Act,1989,0,0,6,0,5,0,2,0,0,0,13,0,13
Rajasthan,2013,Indial Railways Act,1989,0,0,0,0,4,0,3,0,0,0,7,0,7
Sikkim,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2013,Indial Railways Act,1989,2,0,2,0,5,0,0,0,0,0,9,0,9
Tripura,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2013,Indial Railways Act,1989,0,0,7,0,4,0,1,0,0,0,12,0,12
Uttarakhand,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2013,Indial Railways Act,1989,0,0,3,0,0,0,0,0,0,0,3,0,3
Total (State),2013,Indial Railways Act,1989,13,0,44,2,37,0,15,0,0,0,109,2,111
A&N Islands,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),2013,Indial Railways Act,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),2013,Indial Railways Act,1989,13,0,44,2,37,0,15,0,0,0,109,2,111
Andhra Pradesh,2013,Indian Passport Act,0,0,13,3,27,1,11,0,0,0,51,4,55,
Arunachal Pradesh,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Assam,2013,Indian Passport Act,0,0,0,0,4,0,1,0,0,0,5,0,5,
Bihar,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chhattisgarh,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Goa,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gujarat,2013,Indian Passport Act,1,0,6,12,6,0,0,0,0,0,13,12,25,
Haryana,2013,Indian Passport Act,0,0,0,0,1,0,0,0,0,0,1,0,1,
Himachal Pradesh,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jammu & Kashmir,2013,Indian Passport Act,0,0,0,0,2,1,0,0,0,0,2,1,3,
Jharkhand,2013,Indian Passport Act,0,0,0,0,1,0,0,0,0,0,1,0,1,
Karnataka,2013,Indian Passport Act,0,0,7,2,15,5,3,1,0,0,25,8,33,
Kerala,2013,Indian Passport Act,1,0,73,1,116,1,20,0,1,0,211,2,213,
Madhya Pradesh,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maharashtra,2013,Indian Passport Act,7,5,377,160,172,90,52,19,6,1,614,275,889,
Manipur,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Meghalaya,2013,Indian Passport Act,0,1,2,0,0,0,0,0,0,0,2,1,3,
Mizoram,2013,Indian Passport Act,1,1,10,2,11,4,1,1,0,0,23,8,31,
Nagaland,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Odisha,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Punjab,2013,Indian Passport Act,0,0,15,0,10,1,0,0,0,0,25,1,26,
Rajasthan,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sikkim,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tamil Nadu,2013,Indian Passport Act,0,0,40,1,97,0,29,0,0,0,166,1,167,
Tripura,2013,Indian Passport Act,0,0,138,13,57,0,2,0,0,0,197,13,210,
Uttar Pradesh,2013,Indian Passport Act,0,0,30,0,8,1,4,0,0,0,42,1,43,
Uttarakhand,2013,Indian Passport Act,0,0,0,0,2,0,0,0,0,0,2,0,2,
West Bengal,2013,Indian Passport Act,1,0,34,0,52,0,24,0,0,0,111,0,111,
Total (State),2013,Indian Passport Act,11,7,745,194,581,104,147,21,7,1,1491,327,1818,
A&N Islands,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chandigarh,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
D&N Haveli,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daman & Diu,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Delhi UT,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lakshadweep,2013,Indian Passport Act,0,0,0,0,0,0,0,0,0,0,0,0,0,
Puducherry,2013,Indian Passport Act,0,1,0,0,2,0,0,0,0,0,2,1,3,
Total (UTs),2013,Indian Passport Act,0,1,0,0,2,0,0,0,0,0,2,1,3,
Total (All-India),2013,Indian Passport Act,11,8,745,194,583,104,147,21,7,1,1493,328,1821,
Andhra Pradesh,2013,Narcotic Drugs and Psychotropic Substances Act,1985,2,0,409,22,442,29,172,13,21,2,1046,66,1112
Arunachal Pradesh,2013,Narcotic Drugs and Psychotropic Substances Act,1985,0,0,42,1,30,0,15,0,0,0,87,1,88
Assam,2013,Narcotic Drugs and Psychotropic Substances Act,1985,3,3,101,4,133,10,10,0,0,0,247,17,264
Bihar,2013,Narcotic Drugs and Psychotropic Substances Act,1985,9,0,288,0,164,0,35,0,0,0,496,0,496
Chhattisgarh,2013,Narcotic Drugs and Psychotropic Substances Act,1985,2,0,242,7,183,10,58,1,18,1,503,19,522
Goa,2013,Narcotic Drugs and Psychotropic Substances Act,1985,1,0,37,0,15,0,8,0,0,0,61,0,61
Gujarat,2013,Narcotic Drugs and Psychotropic Substances Act,1985,1,0,25,0,38,0,7,2,0,0,71,2,73
Haryana,2013,Narcotic Drugs and Psychotropic Substances Act,1985,30,0,483,10,608,12,156,9,26,1,1303,32,1335
Himachal Pradesh,2013,Narcotic Drugs and Psychotropic Substances Act,1985,3,0,263,8,228,6,91,4,7,1,592,19,611
Jammu & Kashmir,2013,Narcotic Drugs and Psychotropic Substances Act,1985,4,0,248,1,271,1,119,1,10,1,652,4,656
Jharkhand,2013,Narcotic Drugs and Psychotropic Substances Act,1985,0,0,114,2,100,0,21,0,0,0,235,2,237
Karnataka,2013,Narcotic Drugs and Psychotropic Substances Act,1985,1,0,171,5,170,6,70,9,17,1,429,21,450
Kerala,2013,Narcotic Drugs and Psychotropic Substances Act,1985,3,0,464,0,470,5,203,15,36,1,1176,21,1197
Madhya Pradesh,2013,Narcotic Drugs and Psychotropic Substances Act,1985,2,0,436,18,393,24,144,4,5,1,980,47,1027
Maharashtra,2013,Narcotic Drugs and Psychotropic Substances Act,1985,7,0,3810,12,1770,30,339,4,14,3,5940,49,5989
Manipur,2013,Narcotic Drugs and Psychotropic Substances Act,1985,0,0,72,4,71,16,21,6,0,0,164,26,190
Meghalaya,2013,Narcotic Drugs and Psychotropic Substances Act,1985,0,0,21,5,11,0,0,0,1,0,33,5,38
Mizoram,2013,Narcotic Drugs and Psychotropic Substances Act,1985,0,0,122,13,66,29,16,7,4,1,208,50,258
Nagaland,2013,Narcotic Drugs and Psychotropic Substances Act,1985,0,0,47,8,50,7,5,1,0,0,102,16,118
Odisha,2013,Narcotic Drugs and Psychotropic Substances Act,1985,3,0,304,6,282,10,145,1,0,0,734,17,751
Punjab,2013,Narcotic Drugs and Psychotropic Substances Act,1985,63,0,6409,229,6169,346,3375,182,47,1,16063,758,16821
Rajasthan,2013,Narcotic Drugs and Psychotropic Substances Act,1985,6,0,595,4,551,14,141,6,15,1,1308,25,1333
