STATE/UT,CRIME HEAD,Year,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Male Total,Female Total,Grand Total
DAMAN & DIU,THEFT (SECTION 379 TO 382 IPC),2012,2,0,39,0,8,0,4,0,0,0,53,0,53
DELHI,THEFT (SECTION 379 TO 382 IPC),2012,436,13,5393,80,1882,47,247,11,9,1,7967,152,8119
LAKSHADWEEP,THEFT (SECTION 379 TO 382 IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,THEFT (SECTION 379 TO 382 IPC),2012,13,0,165,6,65,4,9,2,0,0,252,12,264
TOTAL (UTs),THEFT (SECTION 379 TO 382 IPC),2012,492,16,6247,92,2364,59,275,14,9,1,9387,182,9569
TOTAL (ALL-INDIA),THEFT (SECTION 379 TO 382 IPC),2012,6998,207,105902,3069,60032,2882,16612,739,1062,52,190606,6949,197555
ANDHRA PRADESH,AUTO THEFT,2012,249,3,3037,36,1388,32,199,10,10,0,4883,81,4964
ARUNACHAL PRADESH,AUTO THEFT,2012,4,0,81,0,0,0,0,0,0,0,85,0,85
ASSAM,AUTO THEFT,2012,7,0,459,1,707,3,161,0,0,0,1334,4,1338
BIHAR,AUTO THEFT,2012,174,0,1726,0,855,0,314,0,0,0,3069,0,3069
CHHATTISGARH,AUTO THEFT,2012,42,0,634,0,272,0,95,0,0,0,1043,0,1043
GOA,AUTO THEFT,2012,19,0,57,0,18,0,1,0,0,0,95,0,95
GUJARAT,AUTO THEFT,2012,174,1,2120,9,662,0,145,0,2,0,3103,10,3113
HARYANA,AUTO THEFT,2012,110,0,2100,0,956,2,234,0,1,0,3401,2,3403
HIMACHAL PRADESH,AUTO THEFT,2012,1,0,111,0,53,0,8,0,1,1,174,1,175
JAMMU & KASHMIR,AUTO THEFT,2012,3,0,115,0,111,0,30,1,0,0,259,1,260
JHARKHAND,AUTO THEFT,2012,18,1,602,2,156,1,89,0,0,0,865,4,869
KARNATAKA,AUTO THEFT,2012,49,0,1431,1,792,3,144,1,8,0,2424,5,2429
KERALA,AUTO THEFT,2012,100,0,417,3,249,1,65,0,5,0,836,4,840
MADHYA PRADESH,AUTO THEFT,2012,140,0,2605,4,937,3,223,0,14,0,3919,7,3926
MAHARASHTRA,AUTO THEFT,2012,492,2,4254,13,1346,4,296,4,17,0,6405,23,6428
MANIPUR,AUTO THEFT,2012,0,0,100,1,47,0,3,3,0,0,150,4,154
MEGHALAYA,AUTO THEFT,2012,0,0,37,0,19,0,0,0,0,0,56,0,56
MIZORAM,AUTO THEFT,2012,0,0,18,0,5,0,0,0,0,0,23,0,23
NAGALAND,AUTO THEFT,2012,0,0,28,0,10,0,0,0,0,0,38,0,38
ODISHA,AUTO THEFT,2012,5,0,1006,0,564,3,208,0,24,0,1807,3,1810
PUNJAB,AUTO THEFT,2012,18,0,780,18,528,5,126,2,0,0,1452,25,1477
RAJASTHAN,AUTO THEFT,2012,168,0,2014,1,663,5,111,1,1,0,2957,7,2964
SIKKIM,AUTO THEFT,2012,9,0,8,0,0,0,0,0,0,0,17,0,17
TAMIL NADU,AUTO THEFT,2012,62,0,1324,2,905,0,264,0,5,0,2560,2,2562
TRIPURA,AUTO THEFT,2012,0,0,72,0,33,0,7,0,0,0,112,0,112
UTTAR PRADESH,AUTO THEFT,2012,24,0,3735,0,1512,0,123,0,1,0,5395,0,5395
UTTARAKHAND,AUTO THEFT,2012,14,0,214,0,183,0,13,0,0,0,424,0,424
WEST BENGAL,AUTO THEFT,2012,10,0,1009,0,1343,2,128,0,6,0,2496,2,2498
TOTAL (STATES),AUTO THEFT,2012,1892,7,30094,91,14314,64,2987,22,95,1,49382,185,49567
A & N ISLANDS,AUTO THEFT,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,AUTO THEFT,2012,9,0,245,0,65,0,6,0,0,0,325,0,325
D & N HAVELI,AUTO THEFT,2012,1,0,31,0,2,0,0,0,0,0,34,0,34
DAMAN & DIU,AUTO THEFT,2012,1,0,22,0,2,0,1,0,0,0,26,0,26
DELHI,AUTO THEFT,2012,156,0,2763,0,823,0,93,0,2,0,3837,0,3837
LAKSHADWEEP,AUTO THEFT,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,AUTO THEFT,2012,2,0,63,0,17,0,6,0,0,0,88,0,88
TOTAL (UTs),AUTO THEFT,2012,169,0,3124,0,909,0,106,0,2,0,4310,0,4310
TOTAL (ALL-INDIA),AUTO THEFT,2012,2061,7,33218,91,15223,64,3093,22,97,1,53692,185,53877
ANDHRA PRADESH,OTHER THEFT,2012,564,12,9156,479,4916,362,1472,79,96,6,16204,938,17142
ARUNACHAL PRADESH,OTHER THEFT,2012,9,0,160,4,65,2,8,0,0,0,242,6,248
ASSAM,OTHER THEFT,2012,233,3,2697,79,3519,50,1039,4,111,0,7599,136,7735
BIHAR,OTHER THEFT,2012,359,25,3415,115,2341,63,1064,14,34,0,7213,217,7430
CHHATTISGARH,OTHER THEFT,2012,210,4,1278,21,718,21,182,11,43,1,2431,58,2489
GOA,OTHER THEFT,2012,13,1,214,9,57,6,26,0,3,1,313,17,330
GUJARAT,OTHER THEFT,2012,261,15,2913,78,1619,69,445,23,41,2,5279,187,5466
HARYANA,OTHER THEFT,2012,68,7,1593,52,659,66,236,18,17,5,2573,148,2721
HIMACHAL PRADESH,OTHER THEFT,2012,15,2,328,5,163,11,42,1,5,0,553,19,572
JAMMU & KASHMIR,OTHER THEFT,2012,5,0,797,24,1492,19,322,9,14,0,2630,52,2682
JHARKHAND,OTHER THEFT,2012,76,8,1373,55,872,37,188,10,0,0,2509,110,2619
KARNATAKA,OTHER THEFT,2012,69,1,2014,84,1431,94,369,22,49,3,3932,204,4136
KERALA,OTHER THEFT,2012,74,5,907,110,861,116,343,21,48,1,2233,253,2486
MADHYA PRADESH,OTHER THEFT,2012,357,13,4175,130,2529,107,766,23,69,0,7896,273,8169
MAHARASHTRA,OTHER THEFT,2012,961,36,12265,598,6252,504,1765,128,138,16,21381,1282,22663
MANIPUR,OTHER THEFT,2012,0,0,41,0,36,1,8,0,2,1,87,2,89
MEGHALAYA,OTHER THEFT,2012,18,0,164,1,70,0,3,0,0,0,255,1,256
MIZORAM,OTHER THEFT,2012,28,10,345,21,123,5,56,7,1,0,553,43,596
NAGALAND,OTHER THEFT,2012,21,0,145,4,56,2,2,0,0,0,224,6,230
ODISHA,OTHER THEFT,2012,211,3,3268,30,2019,54,802,10,79,1,6379,98,6477
PUNJAB,OTHER THEFT,2012,47,0,1335,57,1126,115,496,32,3,1,3007,205,3212
RAJASTHAN,OTHER THEFT,2012,247,10,2530,107,1546,86,408,23,21,2,4752,228,4980
SIKKIM,OTHER THEFT,2012,2,0,60,0,8,0,0,0,0,0,70,0,70
TAMIL NADU,OTHER THEFT,2012,366,4,4616,227,2182,236,767,106,51,6,7982,579,8561
TRIPURA,OTHER THEFT,2012,13,0,212,2,146,3,49,1,10,0,430,6,436
UTTAR PRADESH,OTHER THEFT,2012,218,11,7273,47,4144,33,1139,4,27,0,12801,95,12896
UTTARAKHAND,OTHER THEFT,2012,50,8,437,5,325,14,43,2,9,2,864,31,895
WEST BENGAL,OTHER THEFT,2012,119,6,5850,542,4079,683,1310,155,87,2,11445,1388,12833
TOTAL (STATES),OTHER THEFT,2012,4614,184,69561,2886,43354,2759,13350,703,958,50,131837,6582,138419
A & N ISLANDS,OTHER THEFT,2012,1,0,20,0,9,1,5,0,0,0,35,1,36
CHANDIGARH,OTHER THEFT,2012,28,3,313,6,307,7,2,1,0,0,650,17,667
D & N HAVELI,OTHER THEFT,2012,2,0,41,0,26,0,2,0,0,0,71,0,71
DAMAN & DIU,OTHER THEFT,2012,1,0,17,0,6,0,3,0,0,0,27,0,27
DELHI,OTHER THEFT,2012,280,13,2630,80,1059,47,154,11,7,1,4130,152,4282
LAKSHADWEEP,OTHER THEFT,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,OTHER THEFT,2012,11,0,102,6,48,4,3,2,0,0,164,12,176
TOTAL (UTs),OTHER THEFT,2012,323,16,3123,92,1455,59,169,14,7,1,5077,182,5259
TOTAL (ALL-INDIA),OTHER THEFT,2012,4937,200,72684,2978,44809,2818,13519,717,965,51,136914,6764,143678
ANDHRA PRADESH,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),48,1,3901,366,3437,336,1124,71,146,11,8656,785,9441
ARUNACHAL PRADESH,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),0,0,66,0,0,0,0,0,0,0,66,0,66
ASSAM,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),72,12,4470,61,5265,68,1360,20,98,0,11265,161,11426
BIHAR,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),487,39,20596,1451,13472,1158,7072,726,613,33,42240,3407,45647
CHHATTISGARH,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),99,9,2357,107,1990,143,785,51,164,15,5395,325,5720
GOA,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),5,0,208,4,167,13,47,9,9,0,436,26,462
GUJARAT,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),131,11,5866,259,4398,321,1670,136,231,17,12296,744,13040
HARYANA,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),80,3,2398,93,1967,98,786,30,94,2,5325,226,5551
HIMACHAL PRADESH,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),26,3,806,108,800,177,286,91,71,20,1989,399,2388
JAMMU & KASHMIR,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),16,1,2571,273,3190,340,951,92,23,4,6751,710,7461
JHARKHAND,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),34,1,3501,270,2772,241,1019,62,141,5,7467,579,8046
KARNATAKA,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),33,2,8242,855,10775,1314,5606,725,882,143,25538,3039,28577
KERALA,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),291,1,19271,479,17082,686,6934,256,1106,20,44684,1442,46126
MADHYA PRADESH,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),179,3,5825,172,4427,178,2171,56,266,13,12868,422,13290
MAHARASHTRA,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),691,51,23744,1871,18113,2378,7453,1184,1455,278,51456,5762,57218
MANIPUR,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),0,0,5,0,6,2,3,5,0,0,14,7,21
MEGHALAYA,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),0,0,21,0,6,0,3,0,0,0,30,0,30
ODISHA,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),55,0,5086,200,4589,321,1837,97,150,1,11717,619,12336
PUNJAB,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),23,2,1174,159,997,152,383,52,79,9,2656,374,3030
SIKKIM,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),12,8,27,0,40,0,8,0,0,0,87,8,95
TAMIL NADU,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),62,1,7413,464,5112,558,2681,257,166,11,15434,1291,16725
TRIPURA,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),0,0,152,4,106,4,25,4,2,0,285,12,297
UTTAR PRADESH,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),24,0,22703,261,13050,308,6252,151,769,8,42798,728,43526
UTTARAKHAND,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),9,0,359,38,693,48,226,14,50,3,1337,103,1440
WEST BENGAL,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),22,1,6678,162,5512,185,1717,70,100,1,14029,419,14448
TOTAL (STATES),RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),2399,149,147440,7657,117966,9029,50399,4159,6615,594,324819,21588,346407
A & N ISLANDS,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),1,0,38,0,9,1,3,0,0,0,51,1,52
CHANDIGARH,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),3,0,96,9,76,5,9,0,2,0,186,14,200
D & N HAVELI,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),0,0,45,1,27,2,5,1,4,0,81,4,85
DAMAN & DIU,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),1,0,55,4,21,0,9,5,0,0,86,9,95
DELHI,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),2,0,243,2,121,4,14,0,2,0,382,6,388
LAKSHADWEEP,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),3,0,489,20,304,62,105,13,9,0,910,95,1005
TOTAL (UTs),RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),10,0,966,36,558,74,145,19,17,0,1696,129,1825
TOTAL (ALL-INDIA),RIOTS (SECTION 143,2012,144,145,147,148,149,150,151,153, 153A, 153B,157,158, 160 IPC),2409,149,148406,7693,118524,9103,50544,4178,6632,594,326515,21717,348232
ANDHRA PRADESH,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,3,0,306,18,462,24,156,13,15,1,942,56,998
ARUNACHAL PRADESH,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,2,0,35,0,2,0,0,0,39,0,39
ASSAM,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,212,5,482,5,225,2,0,0,919,12,931
BIHAR,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,5,2,729,31,1112,20,450,5,49,0,2345,58,2403
CHHATTISGARH,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,60,1,84,8,38,0,0,0,182,9,191
GOA,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,1,0,13,3,8,1,8,0,0,0,30,4,34
GUJARAT,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,4,1,613,65,956,112,427,79,52,15,2052,272,2324
HARYANA,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,1,0,182,6,238,11,113,0,11,2,545,19,564
HIMACHAL PRADESH,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,1,0,22,1,44,1,27,1,3,0,97,3,100
JAMMU & KASHMIR,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,74,1,140,1,30,1,2,0,246,3,249
JHARKHAND,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,1,0,343,11,237,10,85,7,0,0,666,28,694
KARNATAKA,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,136,11,164,10,81,8,9,1,390,30,420
KERALA,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,36,3,131,8,62,0,5,0,234,11,245
MADHYA PRADESH,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,190,8,369,13,188,2,7,0,754,23,777
MAHARASHTRA,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,892,38,1071,74,366,47,70,16,2399,175,2574
MANIPUR,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,5,0,7,0,2,0,3,0,17,0,17
MEGHALAYA,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,13,0,15,0,0,0,0,0,28,0,28
MIZORAM,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,7,2,4,1,0,0,0,0,11,3,14
NAGALAND,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,8,2,7,0,2,0,0,0,17,2,19
ODISHA,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,148,24,194,22,60,3,2,0,404,49,453
PUNJAB,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,85,6,151,18,96,5,0,0,332,29,361
RAJASTHAN,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,2,0,111,5,137,9,51,3,5,2,306,19,325
SIKKIM,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,2,0,0,0,1,0,0,0,0,0,3,0,3
TAMIL NADU,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,1,0,89,0,167,2,87,0,29,0,373,2,375
TRIPURA,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,16,1,29,0,7,1,0,0,52,2,54
UTTAR PRADESH,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,3090,0,2591,6,1384,2,59,0,7124,8,7132
UTTARAKHAND,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,12,0,44,0,5,0,2,0,63,0,63
WEST BENGAL,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,486,33,618,55,293,10,14,0,1411,98,1509
TOTAL (STATES),CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,21,3,7880,275,9498,411,4245,189,337,37,21981,915,22896
A & N ISLANDS,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,3,0,1,0,1,0,0,0,5,0,5
CHANDIGARH,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,18,0,17,0,3,0,0,0,38,0,38
D & N HAVELI,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,8,0,14,0,0,0,0,0,22,0,22
DAMAN & DIU,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,2,0,1,0,3,0,0,0,6,0,6
DELHI,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,2,0,109,3,98,0,9,0,1,0,219,3,222
LAKSHADWEEP,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,0,0,1,0,2,0,0,0,1,0,4,0,4
TOTAL (UTs),CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,2,0,141,3,133,0,16,0,2,0,294,3,297
TOTAL (ALL-INDIA),CRIMINAL BREACH OF TRUST (SECTION 406 TO 409),2012,23,3,8021,278,9631,411,4261,189,339,37,22275,918,23193
ANDHRA PRADESH,CHEATING (SECTION 419 TO 420 IPC),2012,22,0,2706,203,3913,327,1279,166,208,12,8128,708,8836
ARUNACHAL PRADESH,CHEATING (SECTION 419 TO 420 IPC),2012,0,0,43,0,18,0,0,0,0,0,61,0,61
ASSAM,CHEATING (SECTION 419 TO 420 IPC),2012,1,0,475,14,765,13,385,0,6,0,1632,27,1659
BIHAR,CHEATING (SECTION 419 TO 420 IPC),2012,16,0,1643,30,2108,27,1088,4,85,0,4940,61,5001
CHHATTISGARH,CHEATING (SECTION 419 TO 420 IPC),2012,2,0,257,26,462,40,196,14,11,2,928,82,1010
GOA,CHEATING (SECTION 419 TO 420 IPC),2012,0,0,37,9,48,14,9,0,3,1,97,24,121
GUJARAT,CHEATING (SECTION 419 TO 420 IPC),2012,6,0,833,31,957,65,385,40,44,7,2225,143,2368
HARYANA,CHEATING (SECTION 419 TO 420 IPC),2012,10,1,525,21,614,53,287,9,34,4,1470,88,1558
HIMACHAL PRADESH,CHEATING (SECTION 419 TO 420 IPC),2012,1,0,32,3,111,17,58,9,7,1,209,30,239
JAMMU & KASHMIR,CHEATING (SECTION 419 TO 420 IPC),2012,0,0,225,6,440,8,161,4,8,0,834,18,852
JHARKHAND,CHEATING (SECTION 419 TO 420 IPC),2012,3,0,677,12,542,20,227,1,7,0,1456,33,1489
KARNATAKA,CHEATING (SECTION 419 TO 420 IPC),2012,1,0,1397,111,2320,235,1251,115,173,35,5142,496,5638
KERALA,CHEATING (SECTION 419 TO 420 IPC),2012,4,0,843,56,1453,146,777,52,137,6,3214,260,3474
MADHYA PRADESH,CHEATING (SECTION 419 TO 420 IPC),2012,9,0,912,54,1160,58,651,34,48,4,2780,150,2930
MAHARASHTRA,CHEATING (SECTION 419 TO 420 IPC),2012,37,7,3326,193,4161,397,2218,211,337,51,10079,859,10938
MANIPUR,CHEATING (SECTION 419 TO 420 IPC),2012,0,0,9,2,27,7,16,2,0,0,52,11,63
MEGHALAYA,CHEATING (SECTION 419 TO 420 IPC),2012,1,0,22,5,40,0,1,0,0,0,64,5,69
MIZORAM,CHEATING (SECTION 419 TO 420 IPC),2012,0,0,11,4,8,2,4,0,0,0,23,6,29
NAGALAND,CHEATING (SECTION 419 TO 420 IPC),2012,0,0,30,1,12,0,2,0,0,0,44,1,45
ODISHA,CHEATING (SECTION 419 TO 420 IPC),2012,6,0,443,16,692,45,361,3,14,0,1516,64,1580
PUNJAB,CHEATING (SECTION 419 TO 420 IPC),2012,1,0,1020,145,1797,283,825,93,20,3,3663,524,4187
RAJASTHAN,CHEATING (SECTION 419 TO 420 IPC),2012,17,2,1677,88,2361,161,1287,71,206,27,5548,349,5897
SIKKIM,CHEATING (SECTION 419 TO 420 IPC),2012,4,1,0,0,9,0,0,0,0,0,13,1,14
TAMIL NADU,CHEATING (SECTION 419 TO 420 IPC),2012,0,0,977,64,1923,247,1155,99,205,7,4260,417,4677
TRIPURA,CHEATING (SECTION 419 TO 420 IPC),2012,0,0,22,0,20,2,1,0,1,0,44,2,46
UTTAR PRADESH,CHEATING (SECTION 419 TO 420 IPC),2012,10,0,14369,37,10419,75,5141,36,350,0,30289,148,30437
UTTARAKHAND,CHEATING (SECTION 419 TO 420 IPC),2012,0,0,87,2,290,9,58,1,2,0,437,12,449
WEST BENGAL,CHEATING (SECTION 419 TO 420 IPC),2012,1,0,1324,81,2143,106,1014,69,68,12,4550,268,4818
TOTAL (STATES),CHEATING (SECTION 419 TO 420 IPC),2012,152,11,33922,1214,38813,2357,18837,1033,1974,172,93698,4787,98485
A & N ISLANDS,CHEATING (SECTION 419 TO 420 IPC),2012,0,0,15,0,11,0,0,0,0,0,26,0,26
CHANDIGARH,CHEATING (SECTION 419 TO 420 IPC),2012,1,0,52,2,127,0,58,0,6,0,244,2,246
D & N HAVELI,CHEATING (SECTION 419 TO 420 IPC),2012,0,0,9,0,3,0,0,0,0,0,12,0,12
DAMAN & DIU,CHEATING (SECTION 419 TO 420 IPC),2012,1,0,0,0,9,0,2,0,1,1,13,1,14
DELHI,CHEATING (SECTION 419 TO 420 IPC),2012,19,2,694,51,715,57,192,7,15,2,1635,119,1754
LAKSHADWEEP,CHEATING (SECTION 419 TO 420 IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,CHEATING (SECTION 419 TO 420 IPC),2012,0,0,20,4,29,11,16,1,7,1,72,17,89
TOTAL (UTs),CHEATING (SECTION 419 TO 420 IPC),2012,21,2,790,57,894,68,268,8,29,4,2002,139,2141
TOTAL (ALL-INDIA),CHEATING (SECTION 419 TO 420 IPC),2012,173,13,34712,1271,39707,2425,19105,1041,2003,176,95700,4926,100626
ANDHRA PRADESH,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,3,0,120,5,98,9,27,4,0,0,248,18,266
ARUNACHAL PRADESH,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,15,0,49,0,22,0,0,0,86,0,86
BIHAR,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,64,0,33,1,7,0,0,0,104,1,105
CHHATTISGARH,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,13,0,19,0,2,0,0,0,34,0,34
GOA,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,3,0,1,0,0,0,0,0,4,0,4
GUJARAT,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,4,0,59,1,50,3,16,0,0,0,129,4,133
HARYANA,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,11,0,17,0,7,0,0,0,35,0,35
HIMACHAL PRADESH,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,2,0,1,0,0,0,0,0,3,0,3
JAMMU & KASHMIR,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,32,0,33,0,4,0,0,0,69,0,69
JHARKHAND,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,18,0,7,1,2,0,0,0,27,1,28
KARNATAKA,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,7,0,30,0,37,2,7,0,1,0,82,2,84
KERALA,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,157,0,200,7,118,0,3,0,478,7,485
MADHYA PRADESH,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,2,0,41,0,10,0,2,0,0,0,55,0,55
MAHARASHTRA,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,9,1,169,11,58,4,11,0,2,1,249,17,266
MANIPUR,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,0,0,1,0,0,0,0,0,1,0,1
MEGHALAYA,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,8,0,3,0,0,0,0,0,11,0,11
MIZORAM,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,0,0,2,2,0,1,0,0,2,3,5
NAGALAND,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,1,0,2,3,1,0,0,0,4,3,7
